104;20 De Septiembre, 1582;-35.6543432;-63.7489084;
105;Calle 13, 1330;-35.6561810;-63.7511627;
106;Calle 13, 1129;-35.6577277;-63.7528831;
107;Calle 25, 1146;-35.6625633;-63.7468394;
108;Calle 20, 1299;-35.6652760;-63.7464699;
109;Domingo Ilria, 500;-35.6705786;-63.7494098;
110;Domingo Ilria, 199;-35.6758965;-63.7558975;
111;Domingo Ilria, 85;-35.6738115;-63.7532714;
112;Calle 2, 1258;-35.6726634;-63.7562207;
113;Calle 4, 1224;-35.6717251;-63.7555310;
114;Calle 21, 86;-35.6693635;-63.7590284;
115;Calle 4, 915;-35.6694621;-63.7585202;
116;Calle 4, 865;-35.6678382;-63.7605116;
117;Calle 17 Oeste, 99;-35.6688712;-63.7628272;
118;25 De Mayo, 373;-35.6708086;-63.7652760;
119;Calle 17 Oeste, 499;-35.6719824;-63.7666424;
120;Calle 17 Oeste, 700;-35.6733506;-63.7686363;
121;Calle 13 Oeste, 766;-35.6722592;-63.7711096;
122;Calle 116, 564;-35.6721956;-63.7716132;
123;Calle 116, 436;-35.6712499;-63.7727427;
124;Juan B.Alberdi, 646;-35.6682849;-63.7736903;
125;Calle 9, 599;-35.6605443;-63.7601214;
126;Calle 11 Oeste, 528;-35.6700446;-63.7701840;
127;Calle 106, 547;-35.6684516;-63.7671559;
128;Calle 444, 2193;-35.6415558;-63.7518995;
129;Calle 107, 1985;-35.6437225;-63.7543116;
130;Calle 127, 998;-35.6434887;-63.7731694;
131;Avenida Circunvalación, 126;-35.6424926;-63.7767610;
132;Av. Circunvalación Y Rp 1;-35.6432660;-63.7467371;
133;Calle 331 Bis, 365;-35.6553265;-63.7831877;
134;Calle 331, 214;-35.6556824;-63.7812700;
135;Calle 300, 1938;-35.6554398;-63.7785029;
136;Calle 300, 1654;-35.6584723;-63.7785331;
137;Calle 300, 985;-35.6666686;-63.7782987;
138;Calle 116, 158;-35.6691068;-63.7754022;
139;Calle 108, 200;-35.6663535;-63.7712633;
140;5 Oeste, 265;-35.6655087;-63.7699746;
141;5 Oeste, 35;-35.6638009;-63.7678954;
142;Calle 5, 147;-35.6623613;-63.7660975;
143;Calle 5, 478;-35.6598022;-63.7631746;
144;Avenida San Martín, 400;-35.6584389;-63.7580277;
