100;101;30;1;
101;102;60;1;
102;103;60;1;
103;104;60;1;
104;105;60;1;
105;106;30;1;
106;33;60;1;
107;108;60;1;
108;21;60;1;
109;110;30;1;
10;11;60;1;
110;111;60;1;
111;112;60;1;
112;113;30;1;
113;114;60;1;
114;115;30;1;
115;116;60;1;
116;117;30;1;
117;118;60;1;
118;119;60;1;
119;120;30;1;
11;12;30;1;
120;121;60;1;
121;122;30;1;
122;123;30;1;
123;56;60;1;
124;125;30;1;
124;139;60;1;
125;126;30;1;
126;127;60;1;
127;65;60;1;
128;129;60;1;
129;80;60;1;
12;13;60;1;
130;131;60;1;
131;132;120;1;
132;133;120;1;
133;134;60;1;
134;135;30;1;
135;136;60;1;
136;49;60;1;
137;138;30;1;
138;124;60;1;
139;140;30;1;
13;14;30;1;
140;141;60;1;
141;142;60;1;
142;143;30;1;
143;144;120;1;
14;15;60;1;
15;16;30;1;
16;17;60;1;
17;18;30;1;
18;19;60;1;
19;20;60;1;
1;2;30;1;
20;21;30;1;
21;22;30;1;
22;23;30;1;
23;24;30;1;
24;25;60;1;
25;109;60;1;
25;26;30;1;
26;27;60;1;
27;28;60;1;
28;29;30;1;
29;30;60;1;
2;107;60;1;
2;3;60;1;
30;68;30;1;
31;32;60;1;
32;33;30;1;
32;70;30;1;
33;34;60;1;
34;35;60;1;
34;68;30;1;
35;36;60;1;
36;37;60;1;
37;38;30;1;
38;39;60;1;
39;40;60;1;
3;4;30;1;
40;41;30;1;
41;42;60;1;
42;43;30;1;
43;44;30;1;
44;45;60;1;
45;46;60;1;
46;47;30;1;
47;48;60;1;
48;49;30;1;
49;50;30;1;
4;5;60;1;
50;51;30;1;
51;137;60;1;
51;52;60;1;
52;53;30;1;
53;54;60;1;
54;55;30;1;
55;56;60;1;
56;124;60;1;
56;57;30;1;
57;58;30;1;
58;59;60;1;
59;60;30;1;
5;6;30;1;
60;61;30;1;
61;62;60;1;
62;63;60;1;
63;64;30;1;
64;65;120;1;
65;66;30;1;
66;67;30;1;
68;69;60;1;
69;1;60;1;
69;31;60;1;
6;7;30;1;
70;71;60;1;
71;72;60;1;
72;73;30;1;
73;74;60;1;
74;75;30;1;
75;76;60;1;
76;77;30;1;
77;78;60;1;
78;79;30;1;
79;80;30;1;
7;8;60;1;
80;130;120;1;
80;81;60;1;
81;82;30;1;
82;83;60;1;
83;84;30;1;
84;85;60;1;
85;86;30;1;
86;87;60;1;
87;88;30;1;
88;89;60;1;
89;90;30;1;
8;9;30;1;
90;91;60;1;
91;92;30;1;
92;93;60;1;
93;94;30;1;
94;128;60;1;
94;95;60;1;
95;96;60;1;
96;97;30;1;
97;98;60;1;
98;99;30;1;
99;100;60;1;
9;10;60;1;
2;1;194;2;
1;31;94;2;
31;1;94;2;
1;69;167;2;
107;2;110;2;
4;3;153;2;
5;4;79;2;
4;6;154;2;
6;4;154;2;
6;5;77;2;
5;7;162;2;
7;5;162;2;
7;6;133;2;
6;8;188;2;
8;6;188;2;
8;7;142;2;
9;8;186;2;
8;15;102;2;
15;8;102;2;
10;9;172;2;
9;14;189;2;
14;9;189;2;
9;15;84;2;
15;9;84;2;
9;16;205;2;
16;9;205;2;
11;10;162;2;
10;15;192;2;
15;10;192;2;
14;13;89;2;
17;16;117;2;
16;18;197;2;
18;16;197;2;
18;17;80;2;
20;19;181;2;
21;20;87;2;
20;22;169;2;
22;20;169;2;
20;108;193;2;
108;20;193;2;
22;21;91;2;
21;24;181;2;
24;21;181;2;
23;22;179;2;
22;24;159;2;
24;22;159;2;
24;23;113;2;
25;24;207;2;
109;25;156;2;
28;27;159;2;
27;29;169;2;
29;27;169;2;
29;28;89;2;
30;35;183;2;
35;30;183;2;
68;30;189;2;
32;31;158;2;
31;69;142;2;
31;106;172;2;
106;31;172;2;
33;32;163;2;
32;105;192;2;
105;32;192;2;
32;106;28;2;
106;32;28;2;
34;33;200;2;
33;106;183;2;
33;144;200;2;
144;33;200;2;
